signal_ts_et,date,time_et,symbol,side,score,underlying_close,fire_rank,c_trend,c_vwap_evt,c_or_evt,c_squeeze,c_rsi,c_vol,engine,conflict_bar
2026-06-24T14:45:00-04:00,2026-06-24,14:45,GOOGL,P,70,343.84,1,,,,,,,prime,False
2026-06-25T10:00:00-04:00,2026-06-25,10:00,AVGO,P,70,373.16,1,,,,,,,prime,False
2026-06-25T10:00:00-04:00,2026-06-25,10:00,META,P,55,547.54,1,,,,,,,prime,False
2026-06-25T10:00:00-04:00,2026-06-25,10:00,TSLA,P,45,371.78,1,,,,,,,prime,False
2026-06-25T10:15:00-04:00,2026-06-25,10:15,IWM,C,60,299.42,1,True,True,True,False,False,False,scout,False
2026-06-25T10:15:00-04:00,2026-06-25,10:15,QQQ,P,45,711.39,1,True,False,False,False,True,True,scout,False
2026-06-25T10:15:00-04:00,2026-06-25,10:15,SPY,C,55,734.12,1,False,True,True,False,True,True,scout,True
2026-06-25T10:45:00-04:00,2026-06-25,10:45,IWM,C,45,300.1,2,True,False,False,True,False,False,scout,False
2026-06-25T11:00:00-04:00,2026-06-25,11:00,SPY,P,50,735.23,2,True,False,True,False,True,False,scout,False
2026-06-25T11:15:00-04:00,2026-06-25,11:15,IWM,C,55,298.46,4,True,False,False,True,True,False,scout,False
2026-06-25T14:00:00-04:00,2026-06-25,14:00,SPY,P,55,733.45,4,True,False,False,True,True,False,scout,False
2026-06-26T10:15:00-04:00,2026-06-26,10:15,QQQ,P,65,712.59,1,True,False,False,True,True,True,scout,False
2026-06-26T10:15:00-04:00,2026-06-26,10:15,TSLA,C,70,377.1,1,,,,,,,prime,False
2026-06-26T10:45:00-04:00,2026-06-26,10:45,IWM,C,45,298.23,1,True,False,False,False,True,True,scout,False
2026-06-26T10:45:00-04:00,2026-06-26,10:45,QQQ,P,45,710.2,3,True,False,False,True,False,False,scout,False
2026-06-26T11:15:00-04:00,2026-06-26,11:15,IWM,C,55,297.89,3,True,False,False,True,True,False,scout,False
2026-06-26T11:15:00-04:00,2026-06-26,11:15,QQQ,P,60,709.06,5,True,False,True,True,False,False,scout,False
2026-06-29T10:00:00-04:00,2026-06-29,10:00,TSLA,C,50,391.8,1,,,,,,,prime,False
2026-06-29T10:15:00-04:00,2026-06-29,10:15,IWM,P,45,294.84,1,True,False,False,True,False,False,scout,False
2026-06-29T10:15:00-04:00,2026-06-29,10:15,QQQ,P,55,706.54,1,True,False,False,True,False,True,scout,False
2026-06-29T10:30:00-04:00,2026-06-29,10:30,SPY,C,45,736.07,1,False,False,True,True,True,False,scout,False
2026-06-29T10:45:00-04:00,2026-06-29,10:45,QQQ,C,45,712.65,1,False,True,True,False,True,False,scout,False
2026-06-29T11:00:00-04:00,2026-06-29,11:00,SPY,C,60,737.86,3,True,False,True,True,False,False,scout,False
2026-06-29T11:15:00-04:00,2026-06-29,11:15,IWM,P,45,295.96,2,True,False,False,True,False,False,scout,False
2026-06-29T11:45:00-04:00,2026-06-29,11:45,QQQ,C,45,718.47,2,True,False,False,True,False,False,scout,False
2026-06-29T12:15:00-04:00,2026-06-29,12:15,QQQ,C,45,719.15,4,True,False,False,True,False,False,scout,False
2026-06-29T13:15:00-04:00,2026-06-29,13:15,IWM,C,65,297.92,1,False,True,True,True,True,False,scout,False
2026-06-29T13:45:00-04:00,2026-06-29,13:45,IWM,C,45,297.63,3,False,False,True,True,True,False,scout,False
2026-06-30T10:00:00-04:00,2026-06-30,10:00,META,P,55,556.3,1,,,,,,,prime,False
2026-06-30T10:15:00-04:00,2026-06-30,10:15,IWM,C,45,299.59,1,True,False,False,True,False,False,scout,False
2026-06-30T10:15:00-04:00,2026-06-30,10:15,NVDA,C,65,196.97,1,,,,,,,prime,False
2026-06-30T10:15:00-04:00,2026-06-30,10:15,QQQ,C,55,731.6,1,True,False,False,True,False,True,scout,False
2026-06-30T10:15:00-04:00,2026-06-30,10:15,SPY,C,50,743.63,1,True,False,True,False,False,True,scout,False
2026-06-30T10:45:00-04:00,2026-06-30,10:45,IWM,C,45,299.64,3,True,False,False,True,False,False,scout,False
2026-06-30T10:45:00-04:00,2026-06-30,10:45,QQQ,C,45,733.07,3,True,False,False,True,False,False,scout,False
2026-06-30T11:15:00-04:00,2026-06-30,11:15,QQQ,C,45,732.81,4,True,False,False,True,False,False,scout,False
2026-06-30T11:15:00-04:00,2026-06-30,11:15,SPY,C,45,744.83,2,True,False,False,True,False,False,scout,False
2026-06-30T11:45:00-04:00,2026-06-30,11:45,SPY,C,45,745.03,4,True,False,False,True,False,False,scout,False
2026-06-30T12:45:00-04:00,2026-06-30,12:45,IWM,C,45,300.47,4,True,False,False,True,False,False,scout,False
2026-07-01T10:15:00-04:00,2026-07-01,10:15,IWM,C,55,302.03,1,True,False,False,True,False,True,scout,False
2026-07-01T10:15:00-04:00,2026-07-01,10:15,TSLA,C,45,426.3,1,,,,,,,prime,False
2026-07-01T11:15:00-04:00,2026-07-01,11:15,IWM,C,45,301.91,2,True,False,False,True,False,False,scout,False
2026-07-01T11:15:00-04:00,2026-07-01,11:15,SPY,C,45,748.07,1,True,False,False,True,False,False,scout,False
2026-07-01T11:45:00-04:00,2026-07-01,11:45,IWM,C,45,302.41,4,True,False,False,True,False,False,scout,False
2026-07-01T11:45:00-04:00,2026-07-01,11:45,SPY,C,45,748.81,3,True,False,False,True,False,False,scout,False
2026-07-02T10:00:00-04:00,2026-07-02,10:00,AAPL,C,65,302.81,1,,,,,,,prime,False
2026-07-02T10:15:00-04:00,2026-07-02,10:15,QQQ,P,50,728.88,1,True,False,True,False,True,False,scout,False
2026-07-02T10:15:00-04:00,2026-07-02,10:15,SPY,C,45,750.96,1,True,False,False,True,False,False,scout,False
2026-07-02T10:30:00-04:00,2026-07-02,10:30,MSFT,C,65,388.65,1,,,,,,,prime,False
2026-07-02T10:45:00-04:00,2026-07-02,10:45,AMZN,C,95,245.14,1,,,,,,,prime,False
2026-07-02T10:45:00-04:00,2026-07-02,10:45,QQQ,P,55,719.07,3,True,False,False,True,False,True,scout,False
2026-07-02T11:00:00-04:00,2026-07-02,11:00,SPY,C,50,747.66,3,True,False,True,False,True,False,scout,False
2026-07-02T11:15:00-04:00,2026-07-02,11:15,IWM,P,45,297.59,1,True,False,False,True,False,False,scout,False
2026-07-02T11:15:00-04:00,2026-07-02,11:15,QQQ,P,45,716.89,5,True,False,False,True,False,False,scout,False
2026-07-02T11:45:00-04:00,2026-07-02,11:45,IWM,P,45,298.05,3,True,False,False,True,False,False,scout,False
2026-07-02T12:15:00-04:00,2026-07-02,12:15,IWM,P,45,297.77,5,True,False,False,True,False,False,scout,False
2026-07-02T13:00:00-04:00,2026-07-02,13:00,SPY,P,45,742.18,1,True,False,False,True,False,False,scout,False
2026-07-02T13:30:00-04:00,2026-07-02,13:30,SPY,P,45,741.53,3,True,False,False,True,False,False,scout,False
2026-07-02T13:45:00-04:00,2026-07-02,13:45,AMZN,P,65,243.72,1,,,,,,,prime,False
2026-07-02T14:00:00-04:00,2026-07-02,14:00,SPY,P,45,740.24,5,True,False,False,True,False,False,scout,False
2026-07-06T10:30:00-04:00,2026-07-06,10:30,SPY,C,70,749.94,1,True,False,True,True,False,True,scout,False
2026-07-06T11:00:00-04:00,2026-07-06,11:00,SPY,C,60,750.28,3,True,False,True,True,False,False,scout,False
2026-07-06T12:15:00-04:00,2026-07-06,12:15,IWM,C,45,300.06,1,True,False,False,True,False,False,scout,False
2026-07-06T14:30:00-04:00,2026-07-06,14:30,META,C,65,599.92,1,,,,,,,prime,False
2026-07-07T10:00:00-04:00,2026-07-07,10:00,AMZN,C,95,247.91,1,,,,,,,prime,False
